ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
10340,PHYS,8999,005,Independent Study,"1 - 12","Bradley Cox","TBA","TBA","Master Thesis Non-Topical Research","",Open,0,30,0,"For master's thesis, taken under the supervision of a thesis director."
10341,PHYS,8999,006,Independent Study,"1 - 12","Donald Crabb","TBA","TBA","Master Thesis Non-Topical Research","",Open,0,30,0,"For master's thesis, taken under the supervision of a thesis director."
10342,PHYS,8999,007,Independent Study,"1 - 12","Gia-Wei Chern","TBA","TBA","Master Thesis Non-Topical Research","",Open,0,30,0,"For master's thesis, taken under the supervision of a thesis director."
10343,PHYS,8999,008,Independent Study,"1 - 12","Donal Day","TBA","TBA","Master Thesis Non-Topical Research","",Open,0,30,0,"For master's thesis, taken under the supervision of a thesis director."
10344,PHYS,8999,009,Independent Study,"1 - 12","E Dukes","TBA","TBA","Master Thesis Non-Topical Research","",Open,0,30,0,"For master's thesis, taken under the supervision of a thesis director."
10345,PHYS,8999,010,Independent Study,"1 - 12","Marija Vucelja","TBA","TBA","Master Thesis Non-Topical Research","",Open,0,30,0,"For master's thesis, taken under the supervision of a thesis director."
10346,PHYS,8999,011,Independent Study,"1 - 12","Michael Fowler","TBA","TBA","Master Thesis Non-Topical Research","",Open,0,30,0,"For master's thesis, taken under the supervision of a thesis director."
10347,PHYS,8999,012,Independent Study,"1 - 12","Thomas Gallagher","TBA","TBA","Master Thesis Non-Topical Research","",Open,0,30,0,"For master's thesis, taken under the supervision of a thesis director."
10348,PHYS,8999,013,Independent Study,"1 - 12","George Hess","TBA","TBA","Master Thesis Non-Topical Research","",Open,0,30,0,"For master's thesis, taken under the supervision of a thesis director."
10349,PHYS,8999,014,Independent Study,"1 - 12","Robert Hirosky","TBA","TBA","Master Thesis Non-Topical Research","",Open,0,30,0,"For master's thesis, taken under the supervision of a thesis director."
10350,PHYS,8999,015,Independent Study,"1 - 12","Hung Pham","TBA","TBA","Master Thesis Non-Topical Research","",Open,0,30,0,"For master's thesis, taken under the supervision of a thesis director."
10351,PHYS,8999,016,Independent Study,"1 - 12","Robert Jones","TBA","TBA","Master Thesis Non-Topical Research","",Open,0,30,0,"For master's thesis, taken under the supervision of a thesis director."
10352,PHYS,8999,017,Independent Study,"1 - 12","Israel Klich","TBA","TBA","Master Thesis Non-Topical Research","",Open,0,30,0,"For master's thesis, taken under the supervision of a thesis director."
10353,PHYS,8999,018,Independent Study,"1 - 12","Eugene Kolomeisky","TBA","TBA","Master Thesis Non-Topical Research","",Open,0,30,0,"For master's thesis, taken under the supervision of a thesis director."
10354,PHYS,8999,020,Independent Study,"1 - 12","Seung-Hun Lee","TBA","TBA","Master Thesis Non-Topical Research","",Open,0,30,0,"For master's thesis, taken under the supervision of a thesis director."
10355,PHYS,8999,021,Independent Study,"1 - 12","Kevin Lehmann","TBA","TBA","Master Thesis Non-Topical Research","",Open,0,30,0,"For master's thesis, taken under the supervision of a thesis director."
10356,PHYS,8999,022,Independent Study,"1 - 12","Nilanga Liyanage","TBA","TBA","Master Thesis Non-Topical Research","",Open,0,30,0,"For master's thesis, taken under the supervision of a thesis director."
10357,PHYS,8999,023,Independent Study,"1 - 12","Simonetta Liuti","TBA","TBA","Master Thesis Non-Topical Research","",Open,0,30,0,"For master's thesis, taken under the supervision of a thesis director."
10358,PHYS,8999,024,Independent Study,"1 - 12","Despo Louca","TBA","TBA","Master Thesis Non-Topical Research","",Open,0,30,0,"For master's thesis, taken under the supervision of a thesis director."
10359,PHYS,8999,025,Independent Study,"1 - 12","Rick Marshall","TBA","TBA","Master Thesis Non-Topical Research","",Open,0,30,0,"For master's thesis, taken under the supervision of a thesis director."
10360,PHYS,8999,026,Independent Study,"1 - 12","Christopher Neu","TBA","TBA","Master Thesis Non-Topical Research","",Open,0,30,0,"For master's thesis, taken under the supervision of a thesis director."
10361,PHYS,8999,027,Independent Study,"1 - 12","Blaine Norum","TBA","TBA","Master Thesis Non-Topical Research","",Open,0,30,0,"For master's thesis, taken under the supervision of a thesis director."
10362,PHYS,8999,028,Independent Study,"1 - 12","Kent Paschke","TBA","TBA","Master Thesis Non-Topical Research","",Open,0,30,0,"For master's thesis, taken under the supervision of a thesis director."
10363,PHYS,8999,029,Independent Study,"1 - 12","Olivier Pfister","TBA","TBA","Master Thesis Non-Topical Research","",Open,0,30,0,"For master's thesis, taken under the supervision of a thesis director."
10364,PHYS,8999,030,Independent Study,"1 - 12","Dinko Pocanic","TBA","TBA","Master Thesis Non-Topical Research","",Open,0,30,0,"For master's thesis, taken under the supervision of a thesis director."
10365,PHYS,8999,031,Independent Study,"1 - 12","Joseph Poon","TBA","TBA","Master Thesis Non-Topical Research","",Open,0,30,0,"For master's thesis, taken under the supervision of a thesis director."
10366,PHYS,8999,032,Independent Study,"1 - 12","Charles Sackett","TBA","TBA","Master Thesis Non-Topical Research","",Open,0,30,0,"For master's thesis, taken under the supervision of a thesis director."
10367,PHYS,8999,033,Independent Study,"1 - 12","Bellave Shivaram","TBA","TBA","Master Thesis Non-Topical Research","",Open,0,30,0,"For master's thesis, taken under the supervision of a thesis director."
10368,PHYS,8999,034,Independent Study,"1 - 12","Harry Thacker","TBA","TBA","Master Thesis Non-Topical Research","",Open,0,30,0,"For master's thesis, taken under the supervision of a thesis director."
10369,PHYS,8999,035,Independent Study,"1 - 12","Stephen Thornton","TBA","TBA","Master Thesis Non-Topical Research","",Open,0,30,0,"For master's thesis, taken under the supervision of a thesis director."
10370,PHYS,8999,036,Independent Study,"1 - 12","Diana Vaman","TBA","TBA","Master Thesis Non-Topical Research","",Open,0,30,0,"For master's thesis, taken under the supervision of a thesis director."
10371,PHYS,8999,038,Independent Study,"1 - 12","Mark Williams","TBA","TBA","Master Thesis Non-Topical Research","",Open,0,30,0,"For master's thesis, taken under the supervision of a thesis director."
10372,PHYS,8999,039,Independent Study,"1 - 12","Stuart Wolf","TBA","TBA","Master Thesis Non-Topical Research","",Open,0,30,0,"For master's thesis, taken under the supervision of a thesis director."
10373,PHYS,8999,040,Independent Study,"1 - 12","Jongsoo Yoon","TBA","TBA","Master Thesis Non-Topical Research","",Open,0,30,0,"For master's thesis, taken under the supervision of a thesis director."
10374,PHYS,8999,041,Independent Study,"1 - 12","Xiaochao Zheng","TBA","TBA","Master Thesis Non-Topical Research","",Open,0,30,0,"For master's thesis, taken under the supervision of a thesis director."
10375,PHYS,8999,042,Independent Study,"1 - 12","Leonid Zhigilei","TBA","TBA","Master Thesis Non-Topical Research","",Open,0,30,0,"For master's thesis, taken under the supervision of a thesis director."
10489,PHYS,8999,043,Independent Study,"1 - 12","Kai Ruppert","TBA","TBA","Master Thesis Non-Topical Research","",Open,0,30,0,"For master's thesis, taken under the supervision of a thesis director."
10674,PHYS,8999,044,Independent Study,"1 - 12","Chi Yan Jeffrey Teo","TBA","TBA","Master Thesis Non-Topical Research","",Open,0,10,0,"For master's thesis, taken under the supervision of a thesis director."
10298,PHYS,9998,001,Independent Study,"1 - 12","Peter Arnold","TBA","TBA","Pre-Qual Preparation for Doctoral Research","",Open,0,50,0,"For students who have not passed the Qualifying exam for doctoral research, taken before a dissertation director has been selected."
10299,PHYS,9998,002,Independent Study,"1 - 12","Stefan Baessler","TBA","TBA","Pre-Qual Preparation for Doctoral Research","",Open,0,30,0,"For students who have not passed the Qualifying exam for doctoral research, taken before a dissertation director has been selected."
10300,PHYS,9998,003,Independent Study,"1 - 12","Louis Bloomfield","TBA","TBA","Pre-Qual Preparation for Doctoral Research","",Open,0,30,0,"For students who have not passed the Qualifying exam for doctoral research, taken before a dissertation director has been selected."
10301,PHYS,9998,004,Independent Study,"1 - 12","Gordon Cates","TBA","TBA","Pre-Qual Preparation for Doctoral Research","",Open,0,30,0,"For students who have not passed the Qualifying exam for doctoral research, taken before a dissertation director has been selected."
10376,PHYS,9998,005,Independent Study,"1 - 12","Bradley Cox","TBA","TBA","Pre-Qual Preparation for Doctoral Research","",Open,0,30,0,"For students who have not passed the Qualifying exam for doctoral research, taken before a dissertation director has been selected."
10377,PHYS,9998,006,Independent Study,"1 - 12","Donald Crabb","TBA","TBA","Pre-Qual Preparation for Doctoral Research","",Open,0,30,0,"For students who have not passed the Qualifying exam for doctoral research, taken before a dissertation director has been selected."
10378,PHYS,9998,007,Independent Study,"1 - 12","Donal Day","TBA","TBA","Pre-Qual Preparation for Doctoral Research","",Open,0,30,0,"For students who have not passed the Qualifying exam for doctoral research, taken before a dissertation director has been selected."
10379,PHYS,9998,008,Independent Study,"1 - 12","E Dukes","TBA","TBA","Pre-Qual Preparation for Doctoral Research","",Open,0,30,0,"For students who have not passed the Qualifying exam for doctoral research, taken before a dissertation director has been selected."
10380,PHYS,9998,009,Independent Study,"1 - 12","Gia-Wei Chern","TBA","TBA","Pre-Qual Preparation for Doctoral Research","",Open,0,30,0,"For students who have not passed the Qualifying exam for doctoral research, taken before a dissertation director has been selected."
10381,PHYS,9998,010,Independent Study,"1 - 12","Marija Vucelja","TBA","TBA","Pre-Qual Preparation for Doctoral Research","",Open,0,30,0,"For students who have not passed the Qualifying exam for doctoral research, taken before a dissertation director has been selected."
10382,PHYS,9998,011,Independent Study,"1 - 12","Michael Fowler","TBA","TBA","Pre-Qual Preparation for Doctoral Research","",Open,0,30,0,"For students who have not passed the Qualifying exam for doctoral research, taken before a dissertation director has been selected."
10383,PHYS,9998,012,Independent Study,"1 - 12","Thomas Gallagher","TBA","TBA","Pre-Qual Preparation for Doctoral Research","",Open,0,30,0,"For students who have not passed the Qualifying exam for doctoral research, taken before a dissertation director has been selected."
10384,PHYS,9998,013,Independent Study,"1 - 12","George Hess","TBA","TBA","Pre-Qual Preparation for Doctoral Research","",Open,0,30,0,"For students who have not passed the Qualifying exam for doctoral research, taken before a dissertation director has been selected."
10385,PHYS,9998,014,Independent Study,"1 - 12","Robert Hirosky","TBA","TBA","Pre-Qual Preparation for Doctoral Research","",Open,0,30,0,"For students who have not passed the Qualifying exam for doctoral research, taken before a dissertation director has been selected."
10386,PHYS,9998,015,Independent Study,"1 - 12","Hung Pham","TBA","TBA","Pre-Qual Preparation for Doctoral Research","",Open,0,30,0,"For students who have not passed the Qualifying exam for doctoral research, taken before a dissertation director has been selected."
10387,PHYS,9998,016,Independent Study,"1 - 12","Robert Jones","TBA","TBA","Pre-Qual Preparation for Doctoral Research","",Open,0,30,0,"For students who have not passed the Qualifying exam for doctoral research, taken before a dissertation director has been selected."
10388,PHYS,9998,017,Independent Study,"1 - 12","Israel Klich","TBA","TBA","Pre-Qual Preparation for Doctoral Research","",Open,0,30,0,"For students who have not passed the Qualifying exam for doctoral research, taken before a dissertation director has been selected."
10389,PHYS,9998,018,Independent Study,"1 - 12","Eugene Kolomeisky","TBA","TBA","Pre-Qual Preparation for Doctoral Research","",Open,0,30,0,"For students who have not passed the Qualifying exam for doctoral research, taken before a dissertation director has been selected."
10390,PHYS,9998,020,Independent Study,"1 - 12","Seung-Hun Lee","TBA","TBA","Pre-Qual Preparation for Doctoral Research","",Open,0,30,0,"For students who have not passed the Qualifying exam for doctoral research, taken before a dissertation director has been selected."
10391,PHYS,9998,021,Independent Study,"1 - 12","Kevin Lehmann","TBA","TBA","Pre-Qual Preparation for Doctoral Research","",Open,0,30,0,"For students who have not passed the Qualifying exam for doctoral research, taken before a dissertation director has been selected."
10392,PHYS,9998,022,Independent Study,"1 - 12","Nilanga Liyanage","TBA","TBA","Pre-Qual Preparation for Doctoral Research","",Open,0,30,0,"For students who have not passed the Qualifying exam for doctoral research, taken before a dissertation director has been selected."
10393,PHYS,9998,023,Independent Study,"1 - 12","Simonetta Liuti","TBA","TBA","Pre-Qual Preparation for Doctoral Research","",Open,0,30,0,"For students who have not passed the Qualifying exam for doctoral research, taken before a dissertation director has been selected."
10394,PHYS,9998,024,Independent Study,"1 - 12","Despo Louca","TBA","TBA","Pre-Qual Preparation for Doctoral Research","",Open,0,30,0,"For students who have not passed the Qualifying exam for doctoral research, taken before a dissertation director has been selected."
10395,PHYS,9998,025,Independent Study,"1 - 12","Rick Marshall","TBA","TBA","Pre-Qual Preparation for Doctoral Research","",Open,0,30,0,"For students who have not passed the Qualifying exam for doctoral research, taken before a dissertation director has been selected."
10396,PHYS,9998,026,Independent Study,"1 - 12","Christopher Neu","TBA","TBA","Pre-Qual Preparation for Doctoral Research","",Open,0,30,0,"For students who have not passed the Qualifying exam for doctoral research, taken before a dissertation director has been selected."
10397,PHYS,9998,027,Independent Study,"1 - 12","Blaine Norum","TBA","TBA","Pre-Qual Preparation for Doctoral Research","",Open,0,30,0,"For students who have not passed the Qualifying exam for doctoral research, taken before a dissertation director has been selected."
10398,PHYS,9998,028,Independent Study,"1 - 12","Kent Paschke","TBA","TBA","Pre-Qual Preparation for Doctoral Research","",Open,0,30,0,"For students who have not passed the Qualifying exam for doctoral research, taken before a dissertation director has been selected."
10399,PHYS,9998,029,Independent Study,"1 - 12","Olivier Pfister","TBA","TBA","Pre-Qual Preparation for Doctoral Research","",Open,0,30,0,"For students who have not passed the Qualifying exam for doctoral research, taken before a dissertation director has been selected."
10400,PHYS,9998,030,Independent Study,"1 - 12","Dinko Pocanic","TBA","TBA","Pre-Qual Preparation for Doctoral Research","",Open,0,30,0,"For students who have not passed the Qualifying exam for doctoral research, taken before a dissertation director has been selected."
10401,PHYS,9998,031,Independent Study,"1 - 12","Joseph Poon","TBA","TBA","Pre-Qual Preparation for Doctoral Research","",Open,0,30,0,"For students who have not passed the Qualifying exam for doctoral research, taken before a dissertation director has been selected."
10402,PHYS,9998,032,Independent Study,"1 - 12","Charles Sackett","TBA","TBA","Pre-Qual Preparation for Doctoral Research","",Open,0,30,0,"For students who have not passed the Qualifying exam for doctoral research, taken before a dissertation director has been selected."
10403,PHYS,9998,033,Independent Study,"1 - 12","Bellave Shivaram","TBA","TBA","Pre-Qual Preparation for Doctoral Research","",Open,0,30,0,"For students who have not passed the Qualifying exam for doctoral research, taken before a dissertation director has been selected."
10404,PHYS,9998,034,Independent Study,"1 - 12","Harry Thacker","TBA","TBA","Pre-Qual Preparation for Doctoral Research","",Open,0,30,0,"For students who have not passed the Qualifying exam for doctoral research, taken before a dissertation director has been selected."
10405,PHYS,9998,035,Independent Study,"1 - 12","Stephen Thornton","TBA","TBA","Pre-Qual Preparation for Doctoral Research","",Open,0,30,0,"For students who have not passed the Qualifying exam for doctoral research, taken before a dissertation director has been selected."
10406,PHYS,9998,036,Independent Study,"1 - 12","Diana Vaman","TBA","TBA","Pre-Qual Preparation for Doctoral Research","",Open,0,30,0,"For students who have not passed the Qualifying exam for doctoral research, taken before a dissertation director has been selected."
10407,PHYS,9998,038,Independent Study,"1 - 12","Mark Williams","TBA","TBA","Pre-Qual Preparation for Doctoral Research","",Open,0,30,0,"For students who have not passed the Qualifying exam for doctoral research, taken before a dissertation director has been selected."
10408,PHYS,9998,039,Independent Study,"1 - 12","Stuart Wolf","TBA","TBA","Pre-Qual Preparation for Doctoral Research","",Open,0,30,0,"For students who have not passed the Qualifying exam for doctoral research, taken before a dissertation director has been selected."
10409,PHYS,9998,040,Independent Study,"1 - 12","Jongsoo Yoon","TBA","TBA","Pre-Qual Preparation for Doctoral Research","",Open,0,30,0,"For students who have not passed the Qualifying exam for doctoral research, taken before a dissertation director has been selected."
10410,PHYS,9998,041,Independent Study,"1 - 12","Xiaochao Zheng","TBA","TBA","Pre-Qual Preparation for Doctoral Research","",Open,0,30,0,"For students who have not passed the Qualifying exam for doctoral research, taken before a dissertation director has been selected."
10411,PHYS,9998,042,Independent Study,"1 - 12","Leonid Zhigilei","TBA","TBA","Pre-Qual Preparation for Doctoral Research","",Open,0,30,0,"For students who have not passed the Qualifying exam for doctoral research, taken before a dissertation director has been selected."
10464,PHYS,9998,043,Independent Study,"1 - 12","Bijoy Kundu","TBA","TBA","Pre-Qual Preparation for Doctoral Research","",Open,0,30,0,"For students who have not passed the Qualifying exam for doctoral research, taken before a dissertation director has been selected."
10477,PHYS,9998,044,Independent Study,"1 - 12","Kai Ruppert","TBA","TBA","Pre-Qual Preparation for Doctoral Research","",Open,0,30,0,"For students who have not passed the Qualifying exam for doctoral research, taken before a dissertation director has been selected."
10505,PHYS,9998,045,Independent Study,"1 - 12","Robert Group","TBA","TBA","Pre-Qual Preparation for Doctoral Research","",Open,0,30,0,"For students who have not passed the Qualifying exam for doctoral research, taken before a dissertation director has been selected."
10675,PHYS,9998,046,Independent Study,"1 - 12","Chi Yan Jeffrey Teo","TBA","TBA","Pre-Qual Preparation for Doctoral Research","",Open,0,30,0,"For students who have not passed the Qualifying exam for doctoral research, taken before a dissertation director has been selected."
10743,PHYS,9998,048,Independent Study,"1 - 12","Utpal Chatterjee","TBA","TBA","Pre-Qual Preparation for Doctoral Research","",Open,0,30,0,"For students who have not passed the Qualifying exam for doctoral research, taken before a dissertation director has been selected."
10302,PHYS,9999,001,Independent Study,"1 - 12","Peter Arnold","TBA","TBA","PhD Thesis Non-Topical Research","",Open,0,60,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10303,PHYS,9999,002,Independent Study,"1 - 12","Gordon Cates","Mo 1:00AM - 1:50AM","TBA","PhD Thesis Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10304,PHYS,9999,003,Independent Study,"1 - 12","Bradley Cox","TBA","TBA","PhD Thesis Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10305,PHYS,9999,004,Independent Study,"1 - 12","Donald Crabb","TBA","TBA","PhD Thesis Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10306,PHYS,9999,005,Independent Study,"1 - 12","Donal Day","TBA","TBA","PhD Thesis Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10307,PHYS,9999,006,Independent Study,"1 - 12","E Dukes","TBA","TBA","PhD Thesis Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10308,PHYS,9999,007,Independent Study,"1 - 12","Thomas Gallagher","TBA","TBA","PhD Thesis Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10309,PHYS,9999,008,Independent Study,"1 - 12","Robert Hirosky","TBA","TBA","PhD Thesis Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10310,PHYS,9999,009,Independent Study,"1 - 12","Robert Jones","TBA","TBA","PhD Thesis Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10311,PHYS,9999,010,Independent Study,"1 - 12","Eugene Kolomeisky","TBA","TBA","PhD Thesis Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10312,PHYS,9999,011,Independent Study,"1 - 12","Seung-Hun Lee","TBA","TBA","PhD Thesis Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10313,PHYS,9999,012,Independent Study,"1 - 12","Kevin Lehmann","TBA","TBA","PhD Thesis Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10314,PHYS,9999,013,Independent Study,"1 - 12","Simonetta Liuti","TBA","TBA","PhD Thesis Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10315,PHYS,9999,014,Independent Study,"1 - 12","Nilanga Liyanage","TBA","TBA","PhD Thesis Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10316,PHYS,9999,015,Independent Study,"1 - 12","Despo Louca","TBA","TBA","PhD Thesis Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10317,PHYS,9999,016,Independent Study,"1 - 12","Christopher Neu","TBA","TBA","PhD Thesis Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10318,PHYS,9999,017,Independent Study,"1 - 12","Blaine Norum","TBA","TBA","PhD Thesis Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10319,PHYS,9999,018,Independent Study,"1 - 12","Kent Paschke","TBA","TBA","PhD Thesis Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10320,PHYS,9999,019,Independent Study,"1 - 12","Olivier Pfister","TBA","TBA","PhD Thesis Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10321,PHYS,9999,020,Independent Study,"1 - 12","Dinko Pocanic","TBA","TBA","PhD Thesis Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10322,PHYS,9999,021,Independent Study,"1 - 12","Joseph Poon","TBA","TBA","PhD Thesis Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10323,PHYS,9999,022,Independent Study,"1 - 12","Charles Sackett","TBA","TBA","PhD Thesis Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10324,PHYS,9999,023,Independent Study,"1 - 12","Bellave Shivaram","TBA","TBA","PhD Thesis Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10325,PHYS,9999,024,Independent Study,"1 - 12","Harry Thacker","TBA","TBA","PhD Thesis Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10326,PHYS,9999,025,Independent Study,"1 - 12","Diana Vaman","TBA","TBA","PhD Thesis Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10327,PHYS,9999,026,Independent Study,"1 - 12","Robert Weikle","TBA","TBA","PhD Thesis Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10328,PHYS,9999,028,Independent Study,"1 - 12","Gia-Wei Chern","TBA","TBA","PhD Thesis Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10329,PHYS,9999,029,Independent Study,"1 - 12","Stuart Wolf","TBA","TBA","PhD Thesis Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10330,PHYS,9999,030,Independent Study,"1 - 12","Jongsoo Yoon","TBA","TBA","PhD Thesis Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10331,PHYS,9999,031,Independent Study,"1 - 12","Xiaochao Zheng","MoTuWeThFr 9:00AM - 9:50AM","TBA","PhD Thesis Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10332,PHYS,9999,032,Independent Study,"1 - 12","Leonid Zhigilei","TBA","TBA","PhD Thesis Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10412,PHYS,9999,033,Independent Study,"1 - 12","Stefan Baessler","TBA","TBA","PhD Thesis Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10413,PHYS,9999,034,Independent Study,"1 - 12","Louis Bloomfield","TBA","TBA","PhD Thesis Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10414,PHYS,9999,035,Independent Study,"1 - 12","Marija Vucelja","TBA","TBA","PhD Thesis Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10415,PHYS,9999,037,Independent Study,"1 - 12","Michael Fowler","TBA","TBA","PhD Thesis Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10416,PHYS,9999,038,Independent Study,"1 - 12","George Hess","TBA","TBA","PhD Thesis Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10417,PHYS,9999,039,Independent Study,"1 - 12","Hung Pham","TBA","TBA","PhD Thesis Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10418,PHYS,9999,040,Independent Study,"1 - 12","Israel Klich","TBA","TBA","PhD Thesis Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10419,PHYS,9999,041,Independent Study,"1 - 12","Austen Lamacraft","TBA","TBA","PhD Thesis Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10420,PHYS,9999,042,Independent Study,"1 - 12","Rick Marshall","TBA","TBA","PhD Thesis Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10421,PHYS,9999,043,Independent Study,"1 - 12","Stephen Thornton","TBA","TBA","PhD Thesis Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10422,PHYS,9999,044,Independent Study,"1 - 12","Mark Williams","TBA","TBA","PhD Thesis Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10463,PHYS,9999,045,Independent Study,"1 - 12","Bijoy Kundu","TBA","TBA","PhD Thesis Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10470,PHYS,9999,046,Independent Study,"1 - 12","Marc Breton","TBA","TBA","PhD Thesis Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10478,PHYS,9999,047,Independent Study,"1 - 12","Kai Ruppert","TBA","TBA","PhD Thesis Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10503,PHYS,9999,050,Independent Study,"1 - 12","Robert Group","TBA","TBA","PhD Thesis Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10676,PHYS,9999,051,Independent Study,"1 - 12","Chi Yan Jeffrey Teo","TBA","TBA","PhD Thesis Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10744,PHYS,9999,052,Independent Study,"1 - 12","Utpal Chatterjee","TBA","TBA","PhD Thesis Non-Topical Research","",Open,0,30,0,"For doctoral dissertation, taken under the supervision of a dissertation director."
10178,PLAN,8998,001,Independent Study,"1 - 12","Timothy Beatley","TBA","TBA","Non-Topical Research, Masters","",Open,0,30,0,"For Thesis Preparation, taken before a thesis director has been selected."
10713,PLAP,3160,001,Seminar,"3","Paul Freedman","MoTuWeThFr 10:00AM - 2:00PM","New Cabell Hall 032","Politics of Food","",Open,0,30,0,"This course looks at the production and consumption of food in a political context. We will explore legislation, regulation, and other policies that affect the food system and examine their implications for the environment, public health and democratic politics. We will look closely at controversies over agricultural subsidies, labeling requirements, farming practices, food safety, advertising and education."
10834,PLAP,3310,001,Lecture,"3","Anthony Sparacino","MoTuWeThFr 10:30AM - 12:45PM","Gibson Hall 141","American Presidency","",Open,0,24,0,"Examines the power, purposes, and problematics of the presidency as a role of national leadership in the American and political constitutional system. While the emphasis is on the modern presidency (1933-present), attention is given to its historical development.  Prerequisite: Two courses in PLAP, or instructor permission."
12371,PLAP,3500,001,Lecture,"3","Anthony Sparacino","MoTuWeThFr 1:00PM - 3:15PM","Gibson Hall 141","Special Topics in American Politics","Politics and the Movies",Open,0,30,0,"Topical offerings in American Politics"
12372,PLAP,3500,002,Lecture,"3","Brian Munis","MoTuWeThFr 10:30AM - 12:45PM","Gibson Hall 141","Special Topics in American Politics","Political Psychology",Open,0,30,0,"Topical offerings in American Politics"
10496,PLAP,4140,001,Seminar,"3","Nicholas Winter","MoTuWeThFr 10:30AM - 12:45PM","New Cabell Hall 042","Gender and American Political Behavior","",Open,0,15,0,"A survey of the way gender ideas shape political behavior in the American political system, historically and today.  Prerequisite: one course in WGS or American political behavior (PLAP 2270, 3140, 3150, 4120, 4150, 4360)."
